title,year,arxiv,doi,journal
Chiral Soliton Lattices under Magnetic Fields and Rotation: a Holographic Analysis,2026,2608.16579,TBD,TBD
Revisiting the Wess-Zumino-Witten Term in Nuclear and Quark Matter under Magnetic Fields and Rotation,2026,2607.04929,TBD,TBD
Homogeneous anisotropic black branes with bianchi VI$_h$ symmetry,2026,2603.07993,10.1140/epjc/s10052-026-15741-w,The European Physical Journal C
Holographic QCD Matter: Chiral Soliton Lattices in Strong Magnetic Field,2026,2507.16897,10.1007/JHEP02(2026)240,JHEP
Holographic Global Vortices with Novel Boundary Conditions,2024,2404.03212,TBD,TBD
Relativistic hydrodynamics under rotation: Prospects and limitations from a holographic perspective,2024,2308.11686,10.1016/j.ppnp.2024.104135,Progress in Particle and Nuclear Physics
Modes of the Sakai-Sugimoto soliton,2023,2306.00677,10.1088/1751-8121/ad742c,Journal of Physics A: Mathematical and Theoretical
Convergence of hydrodynamics in rapidly spinning strongly coupled plasma,2023,2112.10781,10.1103/PhysRevD.108.046014,Physical Review D
Chaos and pole-skipping in a simply spinning plasma,2022,2211.00016,10.1007/JHEP02(2023)253,JHEP
Hydrodynamics of simply spinning black holes \& hydrodynamics for spinning quantum fluids,2020,2007.04345,10.1007/JHEP12(2020)112,JHEP
Resonating AdS soliton,2020,2006.12783,10.1007/JHEP08(2020)136,JHEP
Dispersion relations in non-relativistic two-dimensional materials from quasinormal modes in Hǒrava Gravity,2019,1905.11993,10.1007/JHEP10(2019)087,JHEP
